kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,TCE_ID,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability,Disp
8890150,K02650.01,1,CANDIDATE,0.985,34.9897847,10.0909195,1.14,0.07,-0.1,0.020074,0.001455,-0.000907,008890150-01,0.635311425878,0.0195315425044,0.020614041839,4096.27238831,1.39573844629865,0.10988957956148689,-0.07764001016620975,3012,8890150,34.99,0.0012,0.9998707374641151,0.10355252775276902,0.999985066394617,0.0012,0.9987850843149435,PC
8890150,K02650.02,2,CANDIDATE,0.983,7.05429483,8.993364999999997,1.0,0.06,-0.09,0.017602,0.000857,-0.001446,008890150-02,0.635311425878,0.0195315425044,0.020614041839,4096.27238831,1.223861120441807,0.07047182173022337,-0.10809818432711912,3013,8890150,7.054,0.21,0.9998707374641151,0.07704221916802854,0.9999892086504102,0.21,0.789991474833824,PC
8415200,K02730.01,1,CANDIDATE,0.9890000000000001,4.52158614,22.59492,1.31,0.21,-0.24,0.009333,0.000379,-0.00029,008415200-01,1.2697570561,0.0314065490462,0.0313342448467,5899.71728804,1.2969563396688917,0.06166810307295652,-0.051462770872217206,3490,8415200,4.522,5.1e-05,0.9998707374641151,0.0015171806844424534,0.9999998035619918,5.1e-05,0.9999488035720101,PC
11963206,K02820.01,1,CANDIDATE,1.0,3.00912491,14.820099,1.22,0.16,-0.04,0.012546,0.0006580000000000001,-0.000496,011963206-01,0.8950217068140001,0.030070724107400002,0.0281414815393,5712.275572899999,1.2289163071902611,0.07654379714711701,-0.06207659731543758,3885,11963206,3.009,0.00019,0.9998707374641151,0.013824673958021037,0.9999981877021357,0.00019,0.9998081880464722,PC
4249611,K02821.01,1,CANDIDATE,0.983,79.2450351,12.376152,3.33,0.92,-0.46,0.033253,0.001825,-0.001404,004249611-01,0.921242316818,0.0325417524859,0.0303615636461,5586.8754675,3.352649608062441,0.21881868279538297,-0.1795735377642285,3886,4249611,79.245,0.0099,0.9998707374641151,0.1415669696014455,0.9999786801409538,0.0099,0.9900788912075583,PC
8263545,K02822.01,1,CANDIDATE,0.9990000000000001,4.44589508,18.886185,1.94,0.58,-0.19,0.020568,0.002759,-0.001416,008263545-01,1.21055821502,0.0544957271034,0.0514432725562,5981.29897517,2.7249666943581463,0.385562879810676,-0.22046100072207678,3887,8263545,4.446,0.00089,0.9998707374641151,0.004431642723431308,0.9999994245302902,0.00089,0.9991094250424584,PC
10190075,K03007.01,1,CANDIDATE,0.946,11.1916199,10.262078,1.47,0.2,-0.1,0.014113,0.002443,-0.00259,010190075-01,1.0437344479000001,0.0269554481786,0.0258889478246,5732.080399,1.6121031053229733,0.28214827695902556,-0.29854118847244737,4034,10190075,11.192,0.038,0.9998707374641151,0.05974614117419096,0.9999917852651594,0.038,0.9619920974250833,PC
9650989,K03095.01,1,CANDIDATE,1.0,3.42390809,10.919047,1.25,0.2,-0.08,0.011291,0.000717,-0.000553,009650989-01,0.975262435923,0.0355320388801,0.0332522451193,5741.64636339,1.20513960730232,0.08822970136122218,-0.07191835147054752,3732,9650989,3.424,0.022,0.9998707374641151,0.04206339421198712,0.9999943232945784,0.022,0.9779944481820977,PC
9527334,K00049.01,1,CANDIDATE,1.0,8.31377304,92.30504,2.74,0.43,-0.13,0.026357,0.001241,-0.000811,009527334-01,1.2970236096799999,0.028685669813099997,0.027783852540199997,5838.90843991,3.741341177279383,0.1946241684720294,-0.14027040795122814,488,9527334,8.314,8.5e-11,0.9998707374641151,2.699190739164226e-12,0.9999999999999997,8.5e-11,0.9999999999149997,PC
9571186,K03313.01,1,CANDIDATE,1.0,34.9524256,13.590603,21.74,1.81,-1.51,0.255517,70.16925,-3.3090589999999995,009571186-01,0.737071975236,0.014734158014100001,0.0150696010083,4834.5455563999985,20.611668751873502,5660.309652192357,-266.93062686643896,4512,9571186,34.952,0.96,0.9998707374641151,0.040132386194205096,0.9999945947914204,0.96,0.03999978379165685,PC
8554701,K03315.01,1,CANDIDATE,0.9740000000000001,31.1748311,14.219389,1.31,0.4,-0.14,0.012989,0.000609,-0.000483,008554701-01,0.9576529909729999,0.020254174562,0.0182520277919,5776.94449715,1.3613423081762663,0.07002111504235817,-0.056883873040782164,4548,8554701,31.175,0.00013,0.9998707374641151,0.03094481250360008,0.9999958717293855,0.00013,0.9998658722660607,PC
9031209,K03316.01,1,CANDIDATE,0.996,47.05684760000001,24.130754,2.84,0.47,-0.22,0.03515,0.001272,-0.0006309999999999999,009031209-01,0.8114828718970001,0.0250262802398,0.0238615234744,5251.98548401,3.121678279063808,0.14842493153226052,-0.1075464971406513,4549,9031209,47.057,8.5e-05,0.9998707374641151,0.0025858754112048766,0.999999664833275,8.5e-05,0.9999146648617642,PC
9025971,K03680.01,1,CANDIDATE,0.9990000000000001,141.2415405,336.2867,11.49,1.66,-1.21,0.103416,0.000364,-0.000305,009025971-01,1.01247395354,0.031383827048999995,0.030105835882000002,5867.79771875,11.45921983357568,0.3574860211562277,-0.34241095942092953,4668,9025971,141.242,0.014,0.9998707374641151,1.0057579079803642e-41,1.0,0.014,0.986,PC
2581316,K03681.01,1,CANDIDATE,0.86,217.83184293,326.3096,11.17,2.03,-0.81,0.08768,8.499999999999999e-05,-3.4e-05,002581316-01,1.29778549666,0.028460059833499998,0.027488479306,5851.90216222,12.453370621053267,0.2733655244554572,-0.2638198566403825,4669,2581316,217.832,0.00026,0.9998707374641151,1.0635961612957674e-39,1.0,0.00026,0.99974,PC
2581316,K03681.02,2,CANDIDATE,0.9940000000000001,10.51421162,19.77687,1.25,0.23,-0.09,0.009808,3.1e-05,-0.001406,002581316-02,1.29778549666,0.028460059833499998,0.027488479306,5851.90216222,1.3930503997638053,0.030864857978759725,-0.20186515544012124,4670,2581316,10.514,0.0058,0.9998707374641151,0.0039374925739352066,0.9999994889516766,0.0058,0.9941994919157568,PC
