kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,TCE_ID,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability,Disp
11912987,K04461.01,1,FALSE POSITIVE,0.0,3.74786694,14.703155,0.89,0.28,-0.09,0.008421,0.000181,-0.000542,011912987-01,0.971997190995,0.0205013429243,0.0194222292909,5741.00427414,0.8958022168187043,0.026976271019143273,-0.060371051857734045,4853,11912987,3.748,0.82,0.9990542141774833,0.01450503284751771,0.9999860662488679,0.82,0.17999749192479628,FP
11650401,K04566.01,1,CANDIDATE,1.0,3.94660745,10.508349,1.4,0.26,-0.1,0.015962999999999998,0.0008699999999999999,-0.001004,011650401-01,0.8926001631209999,0.04236827913869999,0.0392698721524,5171.64283138,1.5593906689204615,0.11270195008211402,-0.11969164020598035,5245,11650401,3.947,0.0014,0.9976386927454646,0.037357305625617496,0.9999081477830437,0.0014,0.9985082763761475,PC
4587135,K04680.01,1,CANDIDATE,0.767,54.0812235,10.334499,1.54,0.37,-0.12,0.018566,0.001178,-0.001041,004587135-01,0.982815100839,0.0382243709376,0.036308597531,5836.09466258,1.996979572949668,0.14861688916046348,-0.13409076391134667,4946,4587135,54.081,0.067,0.9982272786663352,0.1173032169216367,0.9997640014057635,0.067,0.9327798133115774,PC
8960918,K04805.01,1,FALSE POSITIVE,0.001,1.19087362,7.291885400000001,0.73,0.1,-0.08,0.007501000000000002,0.0005099999999999999,-0.000852,008960918-01,0.983953086269,0.030080196836799997,0.0282689046648,5194.44288381,0.8077500868427814,0.06021579829607367,-0.09463759526567912,6042,8960918,1.191,0.00015,0.9646803191424956,0.07074469231056926,0.9972126457724177,0.00015,0.9970630638755519,FP
9419020,K04808.01,1,CANDIDATE,0.17,2.40174996,9.516003,0.65,0.08,-0.11,0.014851,0.0005110000000000001,-0.001216,009419020-01,0.615272737731,0.016979545378,0.0171891105966,4011.22970038,1.0000157175449238,0.044108789046248986,-0.0865162899304643,6045,9419020,2.402,0.2,0.9951787898347854,0.04488528804498967,0.9997723312442477,0.2,0.7998178649953982,PC
4270799,K04810.01,1,CANDIDATE,0.8540000000000001,115.238544,10.220816,3.17,0.47,-0.35,0.028010000000000004,0.00088,-0.008783,004270799-01,0.829905612306,0.026782490260700002,0.0253289560799,5654.11989795,2.544047794302286,0.11458145358787605,-0.8014981696589684,6046,4270799,115.239,0.07,0.9986713894301122,0.3669062194567167,0.9992289862528339,0.07,0.9292829572151354,PC
2438264,K00440.01,1,CANDIDATE,1.0,15.90688891,55.40371700000001,2.35,0.16,-0.12,0.027043,0.000852,-0.000308,002438264-01,0.818593734242,0.015305269633799997,0.014978956730799999,4920.04262126,2.422739610817947,0.08875854052888951,-0.052218157293175214,136,2438264,15.907,3.5e-05,0.9990773675149289,1.684202300813525e-06,0.9999999984446626,3.5e-05,0.999964998444717,PC
2438264,K00440.02,2,CANDIDATE,1.0,4.973455252,51.693073,2.46,0.16,-0.13,0.028304000000000006,0.0010550000000000002,-0.003288,002438264-02,0.818593734242,0.015305269633799997,0.014978956730799999,4920.04262126,2.5357106069811484,0.10574008200002094,-0.2981986958789436,137,2438264,4.973,9.9e-06,0.9990773675149289,3.049563548959537e-06,0.9999999971837666,9.9e-06,0.9999900971837945,PC
5021176,K00447.01,1,FALSE POSITIVE,0.0,4.045057186,50.52304,30.33,7.32,-3.94,0.319275,11.27509,-0.120966,005021176-01,1.23488589407,0.0462237494678,0.0438912460531,5663.97553481,43.14944350097123,1523.8090430453199,-16.42011676541431,181,5021176,4.045,1.0,0.9990773675149289,3.904513238353962e-06,0.9999999963942284,1.0,0.0,FP
8007174,K05458.01,1,CANDIDATE,0.99,56.648588,9.064506,2.19,0.22,-0.18,0.025661,0.007497,-0.0033130000000000004,008007174-01,0.71881813865,0.021088634484299998,0.0216882464392,4817.70469032,2.0187198798810715,0.5927461348997562,-0.26765229594152634,5841,8007174,56.649,0.015,0.9962161068493717,0.15896259402698346,0.9992820983781736,0.015,0.984292866902501,PC
11812199,K06090.01,1,FALSE POSITIVE,0.0,37.32030954,188.76498,36.96,11.68,-3.89,0.360084,0.6395350000000001,-0.19802,011812199-01,0.960677967189,0.021255130285799995,0.0201442988452,5729.11083238,37.8586488651536,67.24489174290201,-20.83463161741934,5556,11812199,37.32,0.99,0.9990773675149289,1.320767934235348e-19,1.0,0.99,0.010000000000000009,FP
10934674,K00477.01,1,CANDIDATE,1.0,16.54295261,30.508324,2.31,0.35,-0.21,0.024368,0.000627,-0.000851,010934674-01,0.7894504896719999,0.016716208751299998,0.016241419240500002,4980.98672914,2.105369078095913,0.07015700657125554,-0.0853351717232534,276,10934674,16.543,4.1e-05,0.9990773675115914,0.0005254525149819097,0.9999995144976253,4.1e-05,0.9999585145175309,PC
3356193,K06331.01,1,CANDIDATE,0.452,5.8229815,7.7581415,1.36,0.33,-0.11,0.015533000000000003,0.0016170000000000002,-0.0014199999999999998,003356193-01,0.914194303356,0.0477768277733,0.043508036916,5630.17717745,1.5540940890589294,0.1810251649081395,-0.16017175284183385,6356,3356193,5.823,0.039,0.9784179272240998,0.07093607754494463,0.998315812942772,0.039,0.959381496238004,PC
5456979,K06579.01,1,CANDIDATE,0.997,2.6528082000000004,8.3019705,1.17,0.35,-0.13,0.011494,0.0004980000000000001,-0.001242,005456979-01,1.10582024265,0.0644250586618,0.0603087818893,5697.2611482,1.3910386086516153,0.1009960078249445,-0.16837044470158796,6422,5456979,2.653,0.013,0.9863406092174715,0.05881784801925481,0.9991345542215214,0.013,0.9861458050166416,PC
11509504,K04232.01,1,CANDIDATE,0.998,2.61576515,13.108171,1.06,0.31,-0.13,0.010133,0.000508,-0.000476,011509504-01,1.21334384112,0.060656399425599986,0.0577080963188,5736.51201345,1.3455671883553635,0.0952643622656326,-0.08994933479421473,5447,11509504,2.616,5.4e-06,0.998964129261276,0.020258991959541745,0.9999785581517916,5.4e-06,0.9999731582675775,PC
