kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,TCE_ID,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability,Disp
10811496,K00753.01,1,FALSE POSITIVE,0.0,19.89913995,187.4491,14.6,3.92,-1.31,0.15404600000000002,5.034292,-0.042179,010811496-01,1.23916527803,0.055509770587599996,0.0512236512316,5646.95835844,20.891187034291328,682.7339532445969,-5.784991509240629,1271,10811496,19.899,0.93,0.9782158453183748,1.4773380253302935e-10,0.9999999999967101,0.93,0.06999999999976966,PC
10854555,K00755.01,1,CANDIDATE,1.0,2.525591777,33.1919,2.75,0.88,-0.35,0.024064,0.003751,-0.001522,010854555-01,0.911018007275,0.030388970306700007,0.028081837957599998,5653.33298187,2.3992650954001284,0.38245539751448876,-0.16881129356308397,1273,10854555,2.526,0.001,0.9782158453183737,0.0028003111199624373,0.9999374639898505,0.001,0.9989375265258607,PC
10872983,K00756.01,1,CANDIDATE,1.0,11.09432054,55.20486500000001,3.9,1.27,-0.42,0.036779,0.005115,-0.001065,010872983-01,1.11196445959,0.05309318000580001,0.0468487648818,5854.2824141,4.475837175274919,0.6581360803409366,-0.22881812077905733,1274,10872983,11.094,3.6e-05,0.9782158453183748,0.0002912934325473932,0.9999935112171946,3.6e-05,0.9999575114507907,PC
10872983,K00756.02,2,CANDIDATE,1.0,4.13443512,33.546658,2.77,0.9,-0.3,0.026133,0.001968,-0.002055,010872983-02,1.11196445959,0.05309318000580001,0.0468487648818,5854.2824141,3.1802673509736388,0.28357841482143004,-0.28371690599113303,1275,10872983,4.134,6.3e-06,0.9782158453183741,0.002783382139688617,0.9999378430997947,6.3e-06,0.9999315434913831,PC
10872983,K00756.03,3,CANDIDATE,0.992,2.56658897,12.325094,1.59,0.52,-0.17,0.014983000000000003,0.003935,-0.001417,010872983-03,1.11196445959,0.05309318000580001,0.0468487648818,5854.2824141,1.8233630168613644,0.4867212261417947,-0.18877997769038724,1276,10872983,2.567,7.8e-05,0.9769286801074543,0.027665289163098915,0.9993280623044867,7.8e-05,0.9992501147156269,PC
8018547,K00902.01,1,CANDIDATE,0.966,83.92494032,121.1208,4.78,0.34,-0.47,0.086015,0.000594,-0.001349,008018547-01,0.674983387292,0.012158176255299998,0.011952318711000002,4562.56663809,6.354051542835373,0.12257587545603064,-0.15030044486363536,682,8018547,83.925,0.0052,0.9782158453183748,8.746739637423501e-07,0.9999999805216306,0.0052,0.9947999806229182,PC
6579806,K00967.01,1,FALSE POSITIVE,0.0,9.88047978,560.0515,23.6,7.06,-2.34,0.235723,0.202132,-0.030171,006579806-01,1.35757461804,0.06571532056780001,0.0614936382393,5904.03188955,35.022659744920496,30.079673560881872,-4.755106551419718,1742,6579806,9.88,0.98,0.9782158453183748,1.318838156977679e-28,1.0,0.98,0.020000000000000018,FP
6579806,K00967.01,1,FALSE POSITIVE,0.0,9.88047978,560.0515,23.6,7.06,-2.34,0.235723,0.202132,-0.030171,006579806-01,1.35757461804,0.06571532056780001,0.0614936382393,5904.03188955,35.022659744920496,30.079673560881872,-4.755106551419718,1742,6579806,9.88,0.98,0.9782158453183748,1.318838156977679e-28,1.0,0.98,0.020000000000000018,FP
6307521,K01126.02,2,FALSE POSITIVE,0.0,475.91706,10.978225,28.22,3.96,-3.96,0.257403,74.69797,-2.64795,006307521-02,0.8761067044259999,0.0209047081843,0.0199191409853,5333.67129569,24.68050624578195,7162.246443763585,-253.89333506790834,1755,6307521,475.917,1.0,0.9781829094883349,0.9602065798136444,0.4618167554401814,1.0,0.0,FP
6307521,K01126.02,2,FALSE POSITIVE,0.0,475.91706,10.978225,28.22,3.96,-3.96,0.257403,74.69797,-2.64795,006307521-02,0.8761067044259999,0.0209047081843,0.0199191409853,5333.67129569,24.68050624578195,7162.246443763585,-253.89333506790834,1755,6307521,475.917,1.0,0.9781829094883349,0.9602065798136444,0.4618167554401814,1.0,0.0,FP
