kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,TCE_ID,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability,Disp
10872983,K00756.01,1,CANDIDATE,1.0,11.09432054,55.20486500000001,3.9,1.27,-0.42,0.036779,0.005115,-0.001065,010872983-01,1.11196445959,0.05309318000580001,0.0468487648818,5854.2824141,4.475837175274919,0.6581360803409366,-0.22881812077905733,1274,10872983,11.094,3.6e-05,0.983179087740484,4.5287571073085605e-05,0.9999992251536168,3.6e-05,0.9999632251815113,PC
10872983,K00756.01,1,CANDIDATE,1.0,11.09432054,55.20486500000001,3.9,1.27,-0.42,0.036779,0.005115,-0.001065,010872983-01,1.11196445959,0.05309318000580001,0.0468487648818,5854.2824141,4.475837175274919,0.6581360803409366,-0.22881812077905733,1274,10872983,11.094,3.6e-05,0.983179087740484,4.5287571073085605e-05,0.9999992251536168,3.6e-05,0.9999632251815113,PC
10872983,K00756.02,2,CANDIDATE,1.0,4.13443512,33.546658,2.77,0.9,-0.3,0.026133,0.001968,-0.002055,010872983-02,1.11196445959,0.05309318000580001,0.0468487648818,5854.2824141,3.1802673509736388,0.28357841482143004,-0.28371690599113303,1275,10872983,4.134,6.3e-06,0.983177712361868,0.0009620817775401062,0.9999835228139162,6.3e-06,0.9999772229177225,PC
10872983,K00756.02,2,CANDIDATE,1.0,4.13443512,33.546658,2.77,0.9,-0.3,0.026133,0.001968,-0.002055,010872983-02,1.11196445959,0.05309318000580001,0.0468487648818,5854.2824141,3.1802673509736388,0.28357841482143004,-0.28371690599113303,1275,10872983,4.134,6.3e-06,0.983177712361868,0.0009620817775401062,0.9999835228139162,6.3e-06,0.9999772229177225,PC
10872983,K00756.03,3,CANDIDATE,0.992,2.56658897,12.325094,1.59,0.52,-0.17,0.014983000000000003,0.003935,-0.001417,010872983-03,1.11196445959,0.05309318000580001,0.0468487648818,5854.2824141,1.8233630168613644,0.4867212261417947,-0.18877997769038724,1276,10872983,2.567,7.8e-05,0.9215745497575043,0.020919810410619865,0.9981816979473666,7.8e-05,0.9981038397749267,PC
10872983,K00756.03,3,CANDIDATE,0.992,2.56658897,12.325094,1.59,0.52,-0.17,0.014983000000000003,0.003935,-0.001417,010872983-03,1.11196445959,0.05309318000580001,0.0468487648818,5854.2824141,1.8233630168613644,0.4867212261417947,-0.18877997769038724,1276,10872983,2.567,7.8e-05,0.9215745497575043,0.020919810410619865,0.9981816979473666,7.8e-05,0.9981038397749267,PC
5456651,K00835.01,1,CANDIDATE,1.0,11.76307164,39.560696,2.35,0.17,-0.08,0.028519,0.001069,-0.000443,005456651-01,0.771656433012,0.0147911084819,0.0135628008332,4919.19255499,2.408472710947688,0.10139773350641751,-0.05649463554363952,973,5456651,11.763,4e-05,0.9831790268971698,0.0004615996414532016,0.9999920989558242,4e-05,0.9999520992718659,PC
5456651,K00835.02,2,CANDIDATE,0.878,56.22792710000001,16.481398000000002,2.37,0.17,-0.09,0.028683,0.005581,-0.002562,005456651-02,0.771656433012,0.0147911084819,0.0135628008332,4919.19255499,2.4223227591469736,0.4736053843749118,-0.2205138782781961,1007,5456651,56.228,0.00072,0.9782670481344864,0.032724182780684424,0.9992484121120906,0.00072,0.9985289532553698,PC
7938496,K00900.01,1,CANDIDATE,1.0,13.81020318,40.226162,4.56,1.33,-0.88,0.036595,0.0001,-0.003401,007938496-01,1.1146044335299998,0.0494343519085,0.0452825742249,5630.76106645,4.464018372414991,0.19836123753705406,-0.4527768177144211,680,7938496,13.81,0.046,0.9831790451188347,0.0004359248020549936,0.9999925386232033,0.046,0.9539928818465359,PC
7938496,K00900.01,1,CANDIDATE,1.0,13.81020318,40.226162,4.56,1.33,-0.88,0.036595,0.0001,-0.003401,007938496-01,1.1146044335299998,0.0494343519085,0.0452825742249,5630.76106645,4.464018372414991,0.19836123753705406,-0.4527768177144211,680,7938496,13.81,0.046,0.9831790451188347,0.0004359248020549936,0.9999925386232033,0.046,0.9539928818465359,PC
