kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,TCE_ID,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability,Disp
10657406,K01837.01,1,CANDIDATE,1.0,34.1732156,39.367767,2.37,0.22,-0.07,0.026045,0.002017,-0.003186,010657406-01,0.7947622250699999,0.00828174177007,0.00828358939543,5173.57493664,2.265400720977587,0.17702023836053543,-0.27812317438139844,2550,10657406,34.173,2.4e-05,0.9806904037262777,0.001089251777630338,0.9999785294653496,2.4e-05,0.9999545299806424,PC
10657406,K01837.02,2,CANDIDATE,1.0,1.682934607,28.915668,1.06,0.09,-0.04,0.011608,0.002872,-0.000911,010657406-02,0.7947622250699999,0.00828174177007,0.00828358939543,5173.57493664,1.009666790904505,0.2500287512296874,-0.07993475219455032,2551,10657406,1.683,2.6e-05,0.9806904036847071,0.002449919969100214,0.9999516430992406,2.6e-05,0.99992564435652,PC
5526527,K01838.01,1,CANDIDATE,1.0,16.7364755,36.20435,2.73,0.09,-0.15,0.038278,0.010564,-0.008579,005526527-01,0.649426294495,0.0080261726183,0.00792050686033,4312.63637547,2.7205866489055506,0.7515826496909761,-0.6106495814327264,2552,5526527,16.736,0.00016,0.9806904037262668,0.0011929621278450673,0.9999764827611118,0.00016,0.99981648652387,PC
9965957,K01911.01,1,CANDIDATE,1.0,5.75321539,30.750694,3.14,0.77,-0.26,0.03095,1.4e-05,-0.006222999999999999,009965957-01,0.773843229762,0.0145909692264,0.0141329569153,5151.29197195,2.621181513742898,0.049437123182239716,-0.5292007771467377,2253,9965957,5.753,0.0029,0.9806904037210539,0.002055805179460381,0.9999594382234889,0.0029,0.9970595558526407,PC
9704384,K01913.01,1,CANDIDATE,1.0,5.50860699,35.99112299999999,1.49,0.15,-0.12,0.015422,0.00111,-0.002439,009704384-01,0.893425565924,0.00819311155634,0.00807718156316,5545.24512247,1.507934683385025,0.109411153819187,-0.23887025728231406,2255,9704384,5.509,2.9e-06,0.980690403726262,0.0009785035235723946,0.9999807145921159,2.9e-06,0.9999778146480436,PC
8426567,K01914.01,1,CANDIDATE,1.0,18.93055119,29.305529,4.41,2.25,-2.25,0.024576,0.008495,-0.001301,008426567-01,0.746483277906,0.0081412513121,0.00912772050177,4865.99940971,2.007773590864882,0.694357263869878,-0.10908565363763865,2256,8426567,18.931,5.6e-06,0.9806904037037658,0.0032908786686147544,0.99993498932035,5.6e-06,0.9999293896844097,PC
4249725,K00222.01,1,CANDIDATE,1.0,6.312508525,92.90064,2.0,0.26,-0.33,0.032005,0.000798,-0.000288,004249725-01,0.701849139888,0.00806111535027,0.008081665806979998,4550.59483953,2.458357612961822,0.06748638124026181,-0.03592616512623486,614,4249725,6.313,1.6e-05,0.9806904037262779,3.272532044212787e-07,0.9999999935564483,1.6e-05,0.9999839935565514,PC
4249725,K00222.02,2,CANDIDATE,1.0,12.7945474,42.359932,1.6,0.21,-0.26,0.025596,0.00072,-0.000487,004249725-02,0.701849139888,0.00806111535027,0.008081665806979998,4550.59483953,1.9660715969808096,0.05973689341278344,-0.04372444875224787,615,4249725,12.795,8.1e-05,0.9806904037262779,0.0004627701710442633,0.9999908839300137,8.1e-05,0.9999098846684153,PC
2021440,K01987.01,1,FALSE POSITIVE,0.0,7.81153999,30.70073,23.56,3.22,-1.89,0.303875,13.99018,-0.166074,002021440-01,0.775992216954,0.019302455135700003,0.018705277784400003,5022.567246500002,25.806897262560106,1188.1306150270523,-14.117717476416537,2652,2021440,7.812,1.0,0.9806904037208753,0.0021586450105068266,0.9999574047670775,1.0,0.0,FP
9044228,K01988.01,1,CANDIDATE,1.0,0.934885365,45.290287,3.21,1.91,-1.91,0.016380000000000002,0.0017640000000000004,-0.001591,009044228-01,0.7129560106999999,0.00746093573939,0.00725556904292,4575.14716394,1.278086029925207,0.138288347293001,-0.12482084639973627,2653,9044228,0.935,0.00026,0.9806904037262779,0.00024061046382027314,0.9999952612883076,0.00026,0.9997352625203726,PC
10779233,K01989.01,1,CANDIDATE,0.861,201.118319,21.656965,2.28,0.32,-0.2,0.021853,0.000775,-0.00036,010779233-01,0.9784231486700001,0.011216512042200002,0.0106852724442,5754.68421253,2.340029004991183,0.08721537757686632,-0.04625033133441122,2654,10779233,201.118,0.00048,0.9806903880470051,0.27970417613741055,0.9923540812014096,0.00048,0.9918777512424328,PC
10134152,K02056.01,1,CANDIDATE,1.0,39.3135699,25.298313,2.07,0.59,-0.19,0.020516,0.0006259999999999999,-0.00036,010134152-01,0.903047376417,0.0160741060149,0.0157663680105,5752.7181697999995,2.0276205364820603,0.07162592871451355,-0.05019031298305443,2311,10134152,39.314,0.028,0.9806904021934248,0.008713904990666422,0.9998269167229453,0.028,0.9718317630547029,PC
9573685,K02057.01,1,CANDIDATE,1.0,5.94565516,26.828835,1.12,0.06,-0.07,0.018129,0.000731,-0.000472,009573685-01,0.596842979965,0.0038479207084100003,0.00434652404375,4060.71304995,1.1841791079158637,0.048355124763565634,-0.03201424190411051,2312,9573685,5.946,0.0012,0.9806904033258922,0.0035812202567095898,0.9999292330618862,0.0012,0.998729317982212,PC
9279354,K02060.01,1,CANDIDATE,1.0,2.800111267,28.339994,2.13,0.17,-0.2,0.027766,0.000146,-0.003782,009279354-01,0.728433191303,0.010972648390600002,0.0103028158909,4672.18391143,2.213535550284353,0.0353163799584293,-0.3031262488570676,2316,9279354,2.8,0.0049,0.9806904036485783,0.0027172954088014647,0.9999463512215984,0.0049,0.9950466141006126,PC
9364609,K02137.01,1,CANDIDATE,0.997,14.97436238,21.028004,1.28,0.09,-0.09,0.014655,0.0006230000000000001,-0.00045,009364609-01,0.824580165089,0.010082972179899998,0.0105196814457,5233.44291024,1.3225197375396702,0.05850138506305743,-0.04397512955528448,2757,9364609,14.974,0.0051,0.980690179967945,0.009684349627575745,0.9998074501355375,0.0051,0.9947084321398463,PC
