kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
6362874,K01128.01,1,CANDIDATE,1.0,0.974868896,24.318182,1.16,0.12,-0.06,0.012716,0.000388,-0.000161,0.8320000000000001,0.093,-0.04,5487,1793,6362874,0.975,0.00027,0.9968114361128934,0.0028154701935878446,0.9999909685493561,0.00027,0.9997209709878477
6272413,K01129.01,1,CANDIDATE,1.0,4.89721006,13.62336,1.48,0.18,-0.18,0.015988,0.00521,-0.001186,0.847,0.102,-0.102,5093,1794,6272413,4.897,0.0028,0.9552279936447029,0.02949812941525096,0.9985753846637595,0.0028,0.995779373586701
3660924,K01214.01,1,CANDIDATE,1.0,4.24153629,14.714512,1.44,0.39,-0.28,0.012577,0.000571,-0.000505,1.047,0.28300000000000003,-0.206,5776,1523,3660924,4.242,0.001,0.9667898111400098,0.023165395964867604,0.9991853745524666,0.001,0.9981861891779141
8030148,K00155.01,1,CANDIDATE,1.0,5.660669429,178.65833999999995,3.24,0.5,-0.54,0.02533,0.001361,-0.000558,1.173,0.17800000000000002,-0.198,5746,333,8030148,5.661,3e-09,0.9987168513824418,1.4396368153536422e-17,1.0,3e-09,0.999999997
10538176,K01301.01,1,CANDIDATE,1.0,12.69905011,25.154327,2.62,0.22,-0.17,0.027241,0.00624,-0.001791,0.843,0.055,-0.066,5291,1356,10538176,12.699,0.00075,0.9973868315070393,0.0030714553355163463,0.9999919279478982,0.00075,0.9992419340019372
10538176,K01301.02,2,CANDIDATE,1.0,37.5142128,24.432262,2.68,0.22,-0.18,0.027815,0.0006490000000000001,-0.001083,0.843,0.055,-0.066,5291,1357,10538176,37.514,0.00013,0.9974065177937542,0.006275550068598492,0.9999835791023503,0.00013,0.999853581237067
10724369,K01302.01,1,CANDIDATE,1.0,55.6391882,38.47574,3.13,0.97,-0.32,0.029803,0.002837,-0.003148,0.962,0.297,-0.099,5949,1358,10724369,55.639,0.0012,0.9987004209480992,0.00047231790318199933,0.9999993850963788,0.0012,0.9987993858342631
10867062,K01303.01,1,CANDIDATE,0.998,34.2966363,38.67326,3.29,0.52,-0.57,0.025847,0.000156,-0.001957,1.146,0.2,-0.2,5489,1359,10867062,34.297,0.053,0.9986979550487043,0.0002789685432145035,0.9999996361953688,0.053,0.9469996554770143
10744335,K01304.01,1,CANDIDATE,0.9840000000000001,4.59726613,14.917146,1.69,0.53,-0.17,0.016166999999999997,0.000745,-0.000763,0.959,0.3,-0.1,5999,1360,10744335,4.597,0.00016,0.968712007604779,0.022380874550698458,0.9992605813879835,0.00016,0.9991006996949613
10730034,K01305.01,1,CANDIDATE,1.0,2.633852528,20.749485,1.38,0.07,-0.12,0.014432,0.0006349999999999999,-0.000588,0.8420000000000001,0.045,-0.067,5113,1361,10730034,2.634,1.1e-05,0.9932659020494009,0.006250620827130389,0.9999573557788722,1.1e-05,0.9999463562479587
