kepid,tm_designation,teff,teff_err1,teff_err2,logg,logg_err1,logg_err2,feh,feh_err1,feh_err2,mass,mass_err1,mass_err2,radius,radius_err1,radius_err2,dens,dens_err1,dens_err2,prov_sec,kepmag,limbdark_coeff1,limbdark_coeff2,limbdark_coeff3,limbdark_coeff4,dist,dist_err1,dist_err2,nconfp,nkoi,ntce,datalink_dvr,st_delivname,st_vet_date_str,ra,dec,st_quarters,teff_prov,logg_prov,feh_prov,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,dutycycle,dataspan,mesthres01p5,mesthres02p0,mesthres02p5,mesthres03p0,mesthres03p5,mesthres04p5,mesthres05p0,mesthres06p0,mesthres07p5,mesthres09p0,mesthres10p5,mesthres12p0,mesthres12p5,mesthres15p0,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0,av,av_err1,av_err2,dutycycle_post,dataspan_post,timeout01p5,timeout02p0,timeout02p5,timeout03p0,timeout03p5,timeout04p5,timeout05p0,timeout06p0,timeout07p5,timeout09p0,timeout10p5,timeout12p0,timeout12p5,timeout15p0,timeoutsumry,cdppslplong,cdppslpshrt,KIC,D,e_D,KsMag,e_KsMag,SpType,Teff,R*,e_R*,M*,e_M*,teff_DR25,teff_DR25_err1,teff_DR25_err2,logg_DR25,logg_DR25_err1,logg_DR25_err2,mass_DR25,mass_DR25_err1,mass_DR25_err2
7731089,2MASS J18455871+4324502,3410,0,0,4.919959152687572,0,0,-0.1,0.1,-0.1,0.281,0.008,-0.008,0.304,0.01,-0.01,31.63,8.117,-6.4479999999999995,DSEP,16.756,0.4356,0.8188,-0.574,0.132,104.91,17.55,-12.76,0,0,0,,q1_q17_dr25_stellar,2017-03-23,281.49466,43.413959999999996,10000000000,PHO2,PHO2,PHO2,13.964,0.027999999999999997,13.408,0.02,13.171,0.028999999999999998,0.94,88.535,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,922.725,804.655,739.191,675.137,634.654,562.8009999999998,536.737,492.73900000000003,450.028,413.158,383.847,362.347,355.871,324.96299999999997,0.039,0.012,-0.01,0.94,88.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.46588999999999997,-0.7490000000000001,7731089,166.665,1.493,7.06,0.035,M3V,3410,0.304,0.01,0.281,0.008,3271,42.0,-29.0,5.0889999999999995,0.045,-0.040999999999999995,0.17800000000000002,0.033,-0.022
7799514,2MASS J18444213+4335119,3241,0,0,4.9678690272209405,0,0,0.0,0.0,0.0,0.226,0.075,-0.075,0.258,0.053,-0.053,50.42,0.0,0.0,BTSL,17.237000000000002,0.4293,0.779,-0.4878,0.0943,0.0,0.0,0.0,0,0,0,,q1_q17_dr25_stellar,2017-03-23,281.17566,43.58655200000001,111100000000,PHO54,PHO54,PHO54,14.023,0.03,13.425999999999998,0.034,13.114,0.033,0.8788,365.6880000000001,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,1336.151,1167.553,1085.161,992.6080000000001,934.592,828.268,782.785,715.727,652.977,614.237,589.198,565.389,558.429,513.538,0.0,0.0,0.0,0.8788,365.6880000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.33291,-0.72896,7799514,,,,,M4V,3241,0.258,0.053,0.226,0.075,3052,0.0,0.0,5.172999999999999,0.0,0.0,0.125,0.0,0.0
7731963,2MASS J18481753+4324436,3410,0,0,4.834802203920902,0,0,-0.1,0.1,-0.1,0.386,0.012,-0.012,0.393,0.014,-0.014,82.86,3.736,-48.72,DSEP,16.975,0.4356,0.8188,-0.574,0.132,68.94,40.45,-3.45,0,0,0,,q1_q17_dr25_stellar,2017-03-23,282.07306,43.412121,10000000000,PHO2,PHO2,PHO2,14.152000000000001,0.028999999999999998,13.536,0.036000000000000004,13.329,0.039,0.94,88.535,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,999.59,872.9680000000003,801.8839999999999,737.308,693.701,619.0830000000002,590.765,543.721,493.82300000000004,455.37300000000016,423.675,396.855,390.56,352.19199999999995,0.013999999999999999,0.025,-0.005,0.94,88.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.48286999999999997,-0.72407,7731963,247.742,4.437,6.357,0.056,M3V,3410,0.393,0.014,0.386,0.012,3230,38.0,-16.0,5.294,0.009000000000000001,-0.18,0.107,0.062,-0.003
7739468,2MASS J19044787+4325392,3410,0,0,4.871544573915077,0,0,0.0,0.1,-0.1,0.337,0.009,-0.009,0.352,0.011,-0.011,41.73,14.76,-15.22,DSEP,16.849,0.4293,0.779,-0.4878,0.0943,91.66,28.87,-14.44,0,0,0,,q1_q17_dr25_stellar,2017-03-23,286.19948999999997,43.42757,10000000000,PHO2,PHO2,PHO2,14.040999999999999,0.027999999999999997,13.412,0.033,13.183,0.025,0.9402,88.535,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,699.3919999999997,620.066,578.351,534.7090000000002,506.30400000000003,459.28,436.355,401.64599999999996,367.49699999999996,344.709,319.745,303.686,299.697,278.377,0.03,0.021,-0.009000000000000001,0.9402,88.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.40613,-0.66065,7739468,201.036,2.362,6.665,0.036,M3V,3410,0.352,0.011,0.337,0.009,3217,48.0,-19.0,5.144,0.067,-0.09,0.149,0.052000000000000005,-0.022
7849191,2MASS J19574045+4335596,3241,0,0,5.080837507763466,0,0,0.12,0.2,-0.25,0.154,0.004,-0.004,0.187,0.006,-0.006,0.03701,0.1021,-0.02112,DSEP,16.662,0.695,-0.6709,1.3623,-0.5555,1869.44,694.7,-694.7,0,0,0,,q1_q17_dr25_stellar,2017-03-23,299.41857999999996,43.599959999999996,111100000000,PHO54,PHO54,PHO54,12.800999999999998,0.028999999999999998,12.342,0.033,12.105,0.022000000000000002,0.8791,365.6880000000001,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,778.753,673.097,619.155,562.93,524.609,462.64,438.29400000000004,394.95099999999996,352.149,315.753,301.08099999999996,286.189,280.93,253.93599999999998,0.727,0.018000000000000002,-0.102,0.8791,365.6880000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.44619,-0.77693,7849191,57.455,0.165,8.308,0.023,M4V,3241,0.187,0.006,0.154,0.004,4904,133.0,-133.0,3.426,0.34600000000000003,-0.28300000000000003,1.332,0.184,-0.342
7820535,2MASS J19244226+4333498,3241,0,0,4.951381182965301,0,0,0.0,0.0,0.0,0.249,0.006,-0.006,0.276,0.008,-0.008,71.56,0.0,0.0,BTSL,15.378,0.4293,0.779,-0.4878,0.0943,0.0,0.0,0.0,0,0,1,007/007820/007820535/dv/kplr007820535-20160209194854_dvr.pdf,q1_q17_dr25_stellar,2017-03-23,291.17609,43.563675,11111111111111111,PHO54,PHO54,PHO54,11.584000000000001,0.021,11.034,0.017,10.777000000000001,0.016,0.8728,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,221.783,194.669,180.81900000000002,167.0,158.58,145.268,139.638,130.683,121.18700000000001,112.83200000000001,108.34700000000001,104.181,102.87,97.00399999999999,0.0,0.0,0.0,0.8677,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.31308,-0.6402899999999999,7820535,49.419,0.128,7.307,0.017,M4V,3241,0.276,0.008,0.249,0.006,2826,0.0,0.0,5.244,0.0,0.0,0.102,0.0,0.0
7830804,2MASS J19382334+4330486,3241,0,0,5.054183965720426,0,0,0.0,0.0,0.0,0.169,0.005,-0.005,0.202,0.006,-0.006,41.51,0.0,0.0,BTSL,17.727,0.4293,0.779,-0.4878,0.0943,0.0,0.0,0.0,0,0,0,,q1_q17_dr25_stellar,2017-03-23,294.59732,43.51365300000001,111100000000,PHO54,PHO54,PHO54,13.859000000000002,0.023,13.275,0.025,13.015,0.031,0.8777,365.6880000000001,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,980.3910000000001,862.332,811.154,751.59,710.627,642.502,612.875,565.934,511.16,473.809,442.98900000000003,418.095,412.629,383.721,0.0,0.0,0.0,0.8777,365.6880000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.41662,-0.64673,7830804,95.992,0.697,8.102,0.035,M4V,3241,0.202,0.006,0.169,0.005,3141,0.0,0.0,5.136,0.0,0.0,0.14400000000000002,0.0,0.0
7938787,2MASS J18482918+4346124,3241,0,0,4.728572498817559,0,0,0.0,0.1,-0.1,0.515,0.012,-0.012,0.513,0.015,-0.015,25.33,8.043,-6.101,DSEP,15.097999999999999,0.4293,0.779,-0.4878,0.0943,55.38,10.28,-8.41,0,0,0,,q1_q17_dr25_stellar,2017-03-23,282.1216100000001,43.77013,11111111111111111,PHO2,PHO2,PHO2,12.293,0.021,11.725999999999999,0.021,11.511,0.011000000000000001,0.8735,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,285.414,253.396,238.299,220.68599999999998,209.648,190.03900000000002,181.84400000000002,170.287,157.327,147.166,138.819,132.28799999999998,130.19799999999998,121.58200000000001,0.004,0.01,-0.005,0.8735,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.37164,-0.6391600000000001,7938787,154.623,1.454,5.562,0.023,M4V,3241,0.513,0.015,0.515,0.012,3280,44.0,-39.0,5.043,0.055,-0.05,0.203,0.046,-0.034
7957625,2MASS J19235364+4346066,3241,0,0,5.000806161485686,0,0,-0.38,0.35,-0.25,0.204,0.006,-0.006,0.236,0.008,-0.008,35.45,21.04,-17.94,DSEP,17.531,0.4727,0.9423,-0.8677,0.2658,99.66,53.55,-22.95,0,0,0,,q1_q17_dr25_stellar,2017-03-23,290.9735100000001,43.768536,111100000000,PHO54,PHO54,PHO54,13.936,0.023,13.365,0.027999999999999997,13.117,0.027999999999999997,0.8791,365.6880000000001,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,1134.503,989.689,908.7739999999999,832.8330000000003,785.813,703.444,671.095,630.661,574.311,530.731,501.401,474.01,467.236,421.783,0.035,0.038,-0.016,0.8791,365.6880000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.4321100000000001,-0.72016,7957625,120.601,1.252,7.709,0.036,M4V,3241,0.236,0.008,0.204,0.006,3327,118.0,-59.0,5.114,0.10300000000000001,-0.126,0.16899999999999998,0.108,-0.036000000000000004
8040522,2MASS J19425298+4353488,3241,0,0,4.948584129644885,0,0,0.0,0.0,0.0,0.251,0.013,-0.013,0.278,0.013,-0.013,36.31,0.0,0.0,BTSL,18.949,0.4293,0.779,-0.4878,0.0943,0.0,0.0,0.0,0,0,0,,q1_q17_dr25_stellar,2017-03-23,295.7206700000001,43.896938,111100000000,PHO54,PHO54,PHO54,15.198,0.037000000000000005,14.534,0.043,14.32,0.069,0.8792,365.6880000000001,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,2633.095,2317.297,2146.331,1978.531,1862.057,1650.6960000000001,1562.8729999999994,1420.016,1283.927,1174.92,1091.779,1021.122,1007.19,898.821,0.0,0.0,0.0,0.8792,365.6880000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.50469,-0.72217,8040522,253.639,8.224,7.293,0.097,M4V,3241,0.278,0.013,0.251,0.013,3194,0.0,0.0,5.112,0.0,0.0,0.159,0.0,0.0
