kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,iso_rad,iso_rad_err1,iso_rad_err2,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
10854555,K00755.01,1,CANDIDATE,1.0,2.525591777,33.1919,2.75,0.88,-0.35,0.024064,0.003751,-0.0015220000000000001,0.9124586623518548,0.030240625883487082,-0.02816472170281592,2.4030592173744543,0.38295229621921745,-0.16912266415737778,1273,10854555,2.526,0.001,0.9972578131863288,0.008158860270642256,0.9999773808142036,0.001,0.9989774034333894
10872983,K00756.01,1,CANDIDATE,1.0,11.09432054,55.204865000000005,3.9,1.27,-0.42,0.036779,0.005115,-0.001065,1.1192196795061646,0.05430698564269632,-0.0488371497503588,4.505040611351949,0.663572143529177,-0.2359242082789477,1274,10872983,11.094,3.6e-05,0.9972578266524282,0.0007210077419749708,0.9999980160047744,3.6e-05,0.9999620160761983
10872983,K00756.02,2,CANDIDATE,1.0,4.13443512,33.546658,2.77,0.9,-0.3,0.026133,0.001968,-0.002055,1.1192196795061646,0.05430698564269632,-0.0488371497503588,3.201017599620992,0.2867647173139552,-0.28787216340810406,1275,10872983,4.134,6.3e-06,0.9972578158077494,0.008047756537034526,0.9999776913525744,6.3e-06,0.9999713914931189
10872983,K00756.03,3,CANDIDATE,0.992,2.56658897,12.325094,1.59,0.52,-0.17,0.014983000000000002,0.003935,-0.001417,1.1192196795061646,0.05430698564269632,-0.0488371497503588,1.8352598896078265,0.49015333897270247,-0.19115116163296897,1276,10872983,2.567,7.8e-05,0.9943323678824076,0.08679871936265855,0.9994582275939065,7.8e-05,0.9993802698521541
5456651,K00835.01,1,CANDIDATE,1.0,11.76307164,39.560696,2.35,0.17,-0.08,0.028519,0.0010689999999999999,-0.000443,0.7731648287970686,0.013770483906558884,-0.013902053731560948,2.4131806741424815,0.10014697879925137,-0.057340124829273906,973,5456651,11.763,4e-05,0.9972578263496528,0.00455099434197589,0.9999874288566554,4e-05,0.9999474293595011
5456651,K00835.02,2,CANDIDATE,0.878,56.22792710000001,16.481398000000002,2.37,0.17,-0.09,0.028682999999999997,0.005581,-0.002562,0.7731648287970686,0.013770483906558884,-0.013902053731560948,2.4270577957301724,0.47421950279913755,-0.22113657173224047,1007,5456651,56.228,0.00072,0.9970605445856441,0.12845111393212108,0.9995654983109105,0.00072,0.9988458111521266
7938496,K00900.01,1,CANDIDATE,1.0,13.81020318,40.226162,4.56,1.33,-0.88,0.036594999999999996,0.0001,-0.003401,1.0960944878494472,0.04514711924275328,-0.04070586843525903,4.389885581350538,0.18121281599257566,-0.4393463390721088,680,7938496,13.81,0.046,0.9972578264498017,0.0043616121855879165,0.9999879542762584,0.046,0.9539885083795505
8013419,K00901.01,1,CANDIDATE,1.0,12.732624065,209.49731,4.87,0.97,-0.96,0.08251900000000001,0.000927,-0.001852,0.6555261669647182,0.010250886996482468,-0.010213248923955255,5.920078211681119,0.11398783485489054,-0.1617434302968483,681,8013419,12.733,0.06,0.9972578266524583,1.027190379574037e-11,0.9999999999999718,0.06,0.9399999999999734
8018547,K00902.01,1,CANDIDATE,0.966,83.92494032,121.1208,4.78,0.34,-0.47,0.086015,0.000594,-0.001349,0.6755950153802518,0.01101848589315768,-0.011137942720733872,6.359809190313765,0.1126392330711145,-0.14471305353591674,682,8018547,83.925,0.0052,0.9972578266524583,1.1143718202593972e-06,0.9999999969357933,0.0052,0.9947999969517273
8150320,K00904.01,1,CANDIDATE,1.0,2.211116989,32.73535,1.85,0.13,-0.05,0.026289,0.002509,-0.002111,0.6791647407123372,0.010517638605962665,-0.010273855719550529,1.9540364164321231,0.18893069898018522,-0.15966858327615474,684,8150320,2.211,0.0001,0.9972578090050978,0.008557540531068561,0.9999762659580681,0.0001,0.9998762683314723
8150320,K00904.02,3,CANDIDATE,0.997,27.9541337,15.262756,1.9,0.13,-0.06,0.026973,0.001433,-0.0006940000000000001,0.6791647407123372,0.010517638605962665,-0.010273855719550529,2.0048774871780464,0.1109463764452124,-0.05983931877842728,685,8150320,27.954,0.019,0.9967963333832486,0.09452532085410505,0.9996644843874384,0.019,0.980670859184077
8150320,K00904.03,5,CANDIDATE,1.0,42.1406089,13.00283,1.85,0.13,-0.05,0.026274000000000002,0.001477,-0.000608,0.6791647407123372,0.010517638605962665,-0.010273855719550529,1.9529214806701514,0.11387352726980964,-0.05399134423898385,719,8150320,42.141,0.00083,0.9956248091631166,0.14800972138419052,0.9992365916733004,0.00083,0.9984072253022115
8150320,K00904.04,2,CANDIDATE,1.0,4.6174905619999995,18.39992,1.62,0.11,-0.05,0.023024,0.002805,-0.001614,0.6791647407123372,0.010517638605962665,-0.010273855719550529,1.7113520655762182,0.21017063118632104,-0.12272851444988792,720,8150320,4.617,1.0,0.9971767008593322,0.04609224883032919,0.9998631936382486,1.0,0.0
8150320,K00904.05,4,CANDIDATE,0.996,10.19849255,14.958939,1.75,0.11,-0.06,0.024778,0.005158,-0.002447,0.6791647407123372,0.010517638605962665,-0.010273855719550529,1.8417252206761439,0.38444865958280466,-0.18400456724657008,721,8150320,10.198,1.0,0.9966581796933814,0.07376033249515171,0.9997329845767187,1.0,0.0
