# Description of IPAC file format: http://exoplanetarchive.ipac.caltech.edu/docs/ddgen/ipac_tbl.html
# Astropy Python tool to read IPAC format: http://docs.astropy.org/en/stable/api/astropy.io.ascii.Ipac.html
# IDL tool to read IPAC format: https://irsa.ipac.caltech.edu/tools/pro/read_ipac_table.pro
# The accompanying documentation for this file is: KSCI-19114
# Column Definitions
# TCE_ID
# The Threshold Crossing Event (TCE) identifier, consisting of the Kepler Input Catalog (KIC) ID, followed by a dash, and then the planet number
# KIC
# The KIC ID of the TCE.
# Disp
# The Robovetter Disposition Value (PC or FP)
# Score
# The Robovetter Disposition Score
# NTL
# The Robovetter Not Transit-Like Flag
# SS
# The Robovetter Stellar Eclipse Flag
# CO
# The Robovetter Centroid Offset Flag
# EM
# The Robovetter Ephemeris Match Flag
# period
# The period of the TCE in days from DV
# epoch
# The epoch of the TCE in Barycentric Kepler Julian Date (BKJD)
# Expected_MES
# The expected value for the Multiple Event Statistic (MES) based on the injection parameters. (Note this value only exists for INJ1, INJ2, and INJ3, and is "null" for OBS, INV, and SCR1.)
# MES
# The Multiple Event Statistic (MES) of the TCE
# NTran
# The number of transits identified by TPS with SES != 0 (i.e., those used in calculating the MES.)
# depth
# The depth of the TCE in parts per million (ppm)
# duration
# The duration of the TCE in hours (hrs)
# Rp
# The modeled radius of the planet in units of Earth radii (R_earth)
# Rs
# The assumed size of the target star in solar radii (R_sun)
# Ts
# The assumed temperatue of the target star in Kelvin (K)
# logg
# The assumed surface gravity of the star in cm/s**2 (cgs)
# a
# The modeled semi-major axis of the orbit in Astronomical Units (AU)
# Rp/Rs
# The modeled ratio of the planet radius to stellar radius
# a/Rs
# The modeled ratio of the semi-major axis to the stellar radius
# impact
# The modeled impact parameter
# SNR_DV
# The modeled Signal-to-Noise Ratio (SNR) of the signal
# Sp
# The modeled insolation flux of the planet in units of Earth's insolation flux (S_earth)
# Fit_Prov
# A flag indicating if the fit information comes from supplemental fits (1) or original fits (0)
TCE_ID KIC Disp Score NTL SS CO EM period epoch Expected_MES MES NTran depth duration Rp Rs Ts logg a Rp/Rs a/Rs impact SNR_DV Sp Fit_Prov skygroup
001162345-02 1162345 FP 0.0 1 0 0 0 0.5448461 131.58487793 "" 9.3027 1543 23.1 3.3061 2.652 5.138 6495 3.319 0.0 0.004729 1.22 0.7076 9.3 0.0 1 84
001162345-03 1162345 FP 0.0 1 0 0 0 3.24252566 134.58181816 "" 14.9516 6 58.4 1.0914 4.071 5.138 6495 3.319 0.05409 0.007262 20.13 0.4783 5.1 14384.472 1 84
001162345-04 1162345 FP 0.0 1 0 0 0 4.36616693 133.56738149 "" 13.2247 4 43.1 2.123 3.433 5.138 6495 3.319 0.06596 0.006124 14.94 0.3314 3.7 9673.65 1 84
001162345-05 1162345 FP 0.0 1 0 0 0 1.76234978 132.03176793 "" 12.7183 4 28.9 3.334 3.016 5.138 6495 3.319 0.03603 0.00538 2.76 0.7678 4.8 32424.575 1 84
001162345-06 1162345 FP 0.0 1 0 0 0 3.72085992 134.52647695 "" 12.7641 6 43.4 0.8809 3.528 5.138 6495 3.319 0.05929 0.006292 28.37 0.4899 2.9 11973.664 1 84
001292087-01 1292087 FP 0.0 1 0 0 0 1.09517648 132.04783502 "" 9.2362 1201 30.8 2.2894 0.931 1.502 6328 4.15 0.02187 0.005682 2.3 0.8218 8.7 6777.928 1 84
001294670-01 1294670 FP 0.0 1 0 0 0 1.07345127 131.95080664 "" 12.1808 1238 103.8 3.7964 2.035 1.954 7277 4.053 0.02387 0.009546 2.17 0.3135 12.6 16837.354 1 84
001294670-02 1294670 FP 0.0 1 0 0 0 0.53666157 131.77688813 "" 9.1568 1224 50.9 3.6515 1.606 1.954 7277 4.053 0.01504 0.007533 1.08 0.8921 5.8 42425.986 1 84
001296164-01 1296164 FP 0.0 1 0 1 0 1.96085953 131.82510556 "" 7.7999 667 28.9 7.7229 1.101 1.751 6977 4.098 0.03432 0.005763 1.26 0.9097 7.0 5526.439 1 84
001296779-01 1296779 FP 0.038 1 0 0 0 538.73320717 420.82035587 "" 8.9837 3 361.5 3.1593 0.879 0.451 3703 4.794 1.0017 0.017864 1150.41 0.5062 7.5 0.034 1 84
001297510-01 1297510 FP 0.0 1 0 1 0 88.56790305 147.02825258 "" 9.1055 3 30.8 2.7164 25.164 42.209 4090 1.108 0.366 0.005463 177.02 0.7113 1.6 3334.437 0 84
001429653-01 1429653 FP 0.0 1 0 0 0 2.33856581 133.39874745 "" 10.0958 568 80.3 7.4166 1.783 1.94 7106 4.094 0.0412 0.008422 2.33 0.3987 11.0 5066.174 1 84
001429653-02 1429653 FP 0.0 1 0 0 0 2.33816275 131.94228305 "" 10.9705 566 78.1 5.0283 1.732 1.94 7106 4.094 0.0412 0.008183 3.63 0.0267 10.1 5066.327 1 84
001429653-03 1429653 FP 0.0 1 0 0 0 50.96078702 138.45912044 "" 8.3044 5 328.3 1.9736 3.595 1.94 7106 4.094 0.32141 0.016982 189.47 0.3341 3.9 83.231 1 84
001430590-01 1430590 FP 0.0 1 0 0 0 0.6938292 132.07887024 "" 10.6177 1893 26.1 2.998 1.732 3.331 6809 3.669 0.01895 0.004765 1.81 0.2964 12.4 59474.901 1 84
001430590-02 1430590 FP 0.0 1 0 0 0 0.69335077 131.80001349 "" 9.484 1479 22.8 2.5644 1.616 3.331 6809 3.669 0.01896 0.004445 2.1 0.2594 11.1 59471.947 1 84
001430741-01 1430741 FP 0.0 1 0 0 0 1.36274431 132.90859853 "" 9.3053 971 56.1 5.0367 1.591 2.051 6935 3.989 0.02752 0.007109 1.94 0.5 7.2 11511.388 1 84
001430741-02 1430741 FP 0.0 1 0 1 0 172.75754852 253.31980149 "" 9.2034 3 927.7 4.9928 6.36 2.051 6935 3.989 0.69444 0.028415 260.45 0.2947 7.5 18.077 1 84
001430741-03 1430741 FP 0.0 1 0 0 0 438.81152077 358.36768135 "" 8.2419 3 314.1 2.0416 4.218 2.051 6935 3.989 1.29278 0.018848 798.55 0.8953 2.2 5.216 0 84
001430741-04 1430741 FP 0.0 1 0 0 0 438.80935786 358.80573754 "" 8.2187 3 898.0 5.0521 6.204 2.051 6935 3.989 1.29275 0.027722 681.88 0.1 6.9 5.216 1 84
001430741-05 1430741 FP 0.0 1 0 0 0 51.40223987 131.70607555 "" 8.2965 11 438.6 4.5826 4.337 2.051 6935 3.989 0.3095 0.019377 87.29 0.0376 7.2 91.008 1 84
001430741-06 1430741 FP 0.0 1 0 0 0 79.33875593 146.59424148 "" 9.1212 3 484.9 3.9442 5.084 2.051 6935 3.989 0.41337 0.022716 88.16 0.8467 5.1 51.02 1 84
001431794-01 1431794 FP 0.0 1 0 0 0 1.25121186 132.07540858 "" 15.5111 1053 154.8 5.4573 3.128 2.349 7329 3.915 0.02688 0.012203 1.52 0.6996 16.8 19734.291 1 84
001431794-02 1431794 FP 0.0 1 0 0 0 1.25127737 132.63209422 "" 13.8632 1059 101.9 6.0276 2.779 2.349 7329 3.915 0.02689 0.010841 1.18 0.9045 11.2 19732.435 1 84
001432149-01 1432149 FP 0.0 1 0 0 0 0.58319757 131.78261941 "" 9.1836 2263 19.8 2.3476 0.929 2.001 7466 4.036 0.01594 0.004254 1.74 0.5683 9.1 43886.598 1 84
001433399-01 1433399 FP 0.0 1 0 0 0 2.83542836 131.7511884 "" 7.748 466 50.7 7.4781 1.308 1.815 6865 4.076 0.04419 0.006606 2.92 0.2096 6.7 3356.641 1 84
001433399-02 1433399 FP 0.0 1 0 0 0 2.83487743 133.25445564 "" 11.3363 465 63.1 9.4408 1.544 1.815 6865 4.076 0.04419 0.007794 1.85 0.7 8.8 3357.155 1 84
001433962-01 1433962 FP 0.0 1 0 1 0 1.5918527 131.96550495 "" 7.4928 837 87.3 7.8034 0.581 0.651 4506 4.626 0.02316 0.008184 1.68 0.0132 8.9 291.938 1 84
001433980-01 1433980 FP 0.0 1 0 0 0 1.59247608 131.64721755 "" 812.3418 129 34235.8 4.5 32.989 1.768 6574 4.061 0.02922 0.170991 3.23 0.1 -1.0 6124.972 0 84
001433980-02 1433980 FP 0.0 1 0 1 0 0.79628291 131.60702707 "" 4683.2944 68 284718.4 3.0 96.465 1.768 6574 4.061 0.01841 0.5 3.16 0.1 -1.0 15432.802 0 84
001434372-01 1434372 FP 0.0 1 0 0 0 1.34839118 132.11243029 "" 9.8069 976 13.4 7.4698 0.889 2.389 7495 3.926 0.02882 0.003411 1.5 0.1459 10.5 19426.32 1 84
