KIC,KOI,koi_disposition,gaia_iso_prad,gaia_iso_prad_errp,gaia_iso_prad_errm,gaia_iso_sma,gaia_iso_sma_errp,gaia_iso_sma_errm,gaia_iso_insol,gaia_iso_insol_errp,gaia_iso_insol_errm,ZAMSFlux,Flag
11446443,1.01,CONFIRMED,14.212559631961582,0.2948426140004431,0.28547726210295643,0.035500684950901994,0.0008459790854953313,0.0008266200486572213,854.7835785989816,69.34342302365188,64.80806697381624,524.7488281260122,AO
10666592,2.01,CONFIRMED,16.450506780918474,0.3498818126421832,0.34069420230501274,0.03807224072352113,0.0005295802884572083,0.0005951354498827915,4285.953679477229,331.23209378242854,336.9933967313816,2394.6837005561642,AO
10748390,3.01,CONFIRMED,4.88282061086205,0.07550181452378275,0.07315282377428584,0.051553325052773886,0.0005898750888729433,0.00035460517975657965,86.57915163742862,5.241528295642191,4.725902237129336,58.22310246577138,
3861595,4.01,CONFIRMED,13.184877397610904,0.4217486465319223,0.8230267967978011,0.058262932036999414,0.0006927943546238308,0.001514422900428456,5244.4200435063785,478.8980532860301,520.4648064915528,3647.632343970795,AO
11853905,7.01,CONFIRMED,4.013146587364272,0.09772646356307607,0.10040516434765658,0.045493573244772906,0.0007374431559787974,0.0010323163957277797,1247.1692897366793,99.0908019879232,99.01818452094713,719.8028353114718,
6922244,10.01,CONFIRMED,15.532892989895561,0.36089486790096026,0.3570862131054085,0.04898839068318436,0.00070140776199737,0.0008065030833014387,1482.8624948538354,117.24353538587341,126.08854941986307,965.3634606318634,AO
5812701,12.01,CONFIRMED,14.355228045378794,0.3156188268797518,0.29343698192599704,0.15086884051645655,0.001808433387220084,0.0021215933885884775,204.64440482540863,18.910120577096407,15.300105607284156,141.76628990300568,YoungAO
10874614,17.01,CONFIRMED,12.762722613163508,0.2718767192898186,0.3187644585430102,0.04448005104059957,0.0006943554724403452,0.0008542321213789447,793.3326679813063,56.161934009644966,61.46777468878251,450.14177907225053,
8191672,18.01,CONFIRMED,14.910673386330572,0.4309885981942004,0.4153620468105632,0.050418778346441664,0.0007844609831284688,0.0007101273955241921,1826.0247707819055,162.4960389859287,151.50743454592242,1079.0241602796839,AO
11804465,20.01,CONFIRMED,19.45577138602719,0.4501250139511738,0.4214475703893334,0.05531586300464773,0.0011843474943589107,0.0014472382113375887,837.8097557084401,68.80128178707773,69.118891709446,425.3916319941708,
9631995,22.01,CONFIRMED,12.827528010876767,0.26180119969837656,0.2635343962871074,0.08181481924928874,0.0014156317927901375,0.0016629094773027329,277.28379645288373,20.782737636992387,20.8670205891537,181.793003687342,
6521045,41.01,CONFIRMED,2.344104966362804,0.2694100617655111,0.09203740763218632,0.11197314338168424,0.002562818965492333,0.002854695614065165,192.74173675393172,14.666202478310675,14.696051913981158,91.6323681957993,AO
6521045,41.02,CONFIRMED,1.346773038895584,0.02532926636143756,0.10818818703609027,0.0740123278327336,0.0016939793991275795,0.0018869048585502973,441.15924080530533,33.56891386559331,33.63723510510907,209.7338473091579,AO
6521045,41.03,CONFIRMED,1.6032298202442978,0.33148145256000583,0.0948494397335624,0.2201589238887568,0.005038953606739714,0.005612834503383303,49.857548544594394,3.793786019713484,3.8015073347972335,23.703040776325356,AO
8866102,42.01,CONFIRMED,2.7635523109211864,0.0593004051545892,0.05259496363502935,0.14269323560050293,0.0021156091598834967,0.0028710325272896064,147.6450082189387,9.995498462276666,9.351944395488617,91.22817764768429,AO
10905239,46.01,CONFIRMED,6.030648343819168,0.168228745569256,0.15688239567314308,0.04676541747117429,0.000684500990512121,0.0006077181032359441,1102.0284222805485,89.47542538043537,79.54673124286332,385.3295910007984,
10905239,46.02,CONFIRMED,1.25869463150405,0.06294950522808833,0.10630734099054576,0.06736489129688182,0.0009860136500110305,0.0008754090519339652,531.0986531660495,43.12073776055419,38.335819430568094,185.7012239140331,
9527334,49.01,CONFIRMED,3.7328730378178374,0.19418365676162536,0.13995292036574078,0.08074312615121246,0.0020578501672788327,0.0018930715544672359,271.5600778535768,23.474423850064674,21.54449295295435,127.8396684064257,
11554435,63.01,CONFIRMED,5.8763497268324825,1.2108456362270643,0.2339018761455488,0.08636329986011734,0.0010660728852349888,0.0014210820052138705,90.5712471441394,5.97191969584828,5.913477319259463,73.295598816681,
7051180,64.01,CANDIDATE,10.494296975476516,0.6481506373284799,2.2711047206339536,0.03308044226131987,0.0006101657031910063,0.000962709465296068,3969.358107457036,1130.2468699340202,719.8383420918469,1784.278659052621,
3544595,69.01,CONFIRMED,1.6344797274321334,0.03231822746884473,0.09111455097329993,0.0532161911872966,0.0012427954537875012,0.0012426413246830793,274.9542084460166,21.522990142871045,20.540275693870864,179.6239995436956,AO
6850504,70.01,CONFIRMED,2.870221441383609,0.15396434998166636,0.07086992600205187,0.09337569895954148,0.0014412678013344948,0.0018167283656273289,71.57038461714092,4.793709082767347,4.92361521285788,55.13957767358743,AO
6850504,70.02,CONFIRMED,1.709005315067858,0.04802019061936342,0.031394697259296826,0.045533975553435774,0.0007028236851342148,0.0008859142787644637,300.97466689845925,20.158966619669357,20.70526037566411,231.87825679582966,AO
6850504,70.03,CONFIRMED,2.4897745782573666,0.07341603355749186,0.050376048381660696,0.3465681112831669,0.005349330361692285,0.006742869148778525,5.195458539819867,0.34798634858531186,0.35741653281698355,4.002708539834933,AO
6850504,70.04,CONFIRMED,0.8055894459011081,0.03595301307221361,0.026921935419880937,0.0635803294620822,0.0009813718572706527,0.0012370262335380687,154.3673804825526,10.339364813604114,10.619554294936348,118.92841168758217,AO
