# Description of IPAC file format: http://exoplanetarchive.ipac.caltech.edu/docs/ddgen/ipac_tbl.html
# Astropy Python tool to read IPAC format: http://docs.astropy.org/en/stable/api/astropy.io.ascii.Ipac.html
# IDL tool to read IPAC format: https://irsa.ipac.caltech.edu/tools/pro/read_ipac_table.pro
# The accompanying documentation for this file is: KSCI-19114
# Column Definitions
# TCE_ID
# The Threshold Crossing Event (TCE) identifier, consisting of the Kepler Input Catalog (KIC) ID, followed by a dash, and then the planet number
# KIC
# The KIC ID of the TCE.
# Disp
# The Robovetter Disposition Value (PC or FP)
# Score
# The Robovetter Disposition Score
# NTL
# The Robovetter Not Transit-Like Flag
# SS
# The Robovetter Stellar Eclipse Flag
# CO
# The Robovetter Centroid Offset Flag
# EM
# The Robovetter Ephemeris Match Flag
# period
# The period of the TCE in days from DV
# epoch
# The epoch of the TCE in Barycentric Kepler Julian Date (BKJD)
# Expected_MES
# The expected value for the Multiple Event Statistic (MES) based on the injection parameters. (Note this value only exists for INJ1, INJ2, and INJ3, and is "null" for OBS, INV, and SCR1.)
# MES
# The Multiple Event Statistic (MES) of the TCE
# NTran
# The number of transits identified by TPS with SES != 0 (i.e., those used in calculating the MES.)
# depth
# The depth of the TCE in parts per million (ppm)
# duration
# The duration of the TCE in hours (hrs)
# Rp
# The modeled radius of the planet in units of Earth radii (R_earth)
# Rs
# The assumed size of the target star in solar radii (R_sun)
# Ts
# The assumed temperatue of the target star in Kelvin (K)
# logg
# The assumed surface gravity of the star in cm/s**2 (cgs)
# a
# The modeled semi-major axis of the orbit in Astronomical Units (AU)
# Rp/Rs
# The modeled ratio of the planet radius to stellar radius
# a/Rs
# The modeled ratio of the semi-major axis to the stellar radius
# impact
# The modeled impact parameter
# SNR_DV
# The modeled Signal-to-Noise Ratio (SNR) of the signal
# Sp
# The modeled insolation flux of the planet in units of Earth's insolation flux (S_earth)
# Fit_Prov
# A flag indicating if the fit information comes from supplemental fits (1) or original fits (0)
TCE_ID KIC Disp Score NTL SS CO EM period epoch Expected_MES MES NTran depth duration Rp Rs Ts logg a Rp/Rs a/Rs impact SNR_DV Sp Fit_Prov skygroup
001028018-02 1028018 FP 0.0 1 0 0 0 0.61610197 131.74301417 "" 8.1597 1133 80.1 1.1713 1.254 1.378 5543 4.129 0.01384 0.00834 3.71 0.4421 3.8 8380.167 1 84
001028246-01 1028246 FP 0.0 1 0 0 0 55.56866483 187.00614018 "" 19.3265 3 2039.3 4.7209 41.01 9.096 5443 2.759 0.34236 0.041317 93.64 0.0032 5.1 555.109 1 84
001160891-01 1160891 FP 0.0 1 0 0 0 0.94042166 132.41600282 "" 8.2449 1389 42.0 2.8848 1.046 1.6 6842 4.17 0.02093 0.005993 2.57 0.0655 8.0 11478.39 1 84
001160891-02 1160891 FP 0.0 1 0 0 0 58.26083042 166.38694952 "" 9.5981 4 51.3 2.0279 1.337 1.6 6842 4.17 0.32761 0.007656 99.13 0.9008 0.7 46.831 0 84
001160891-03 1160891 FP 0.0 1 0 0 0 58.26234193 165.98240954 "" 10.1822 4 149.5 4.7996 1.983 1.6 6842 4.17 0.32761 0.01136 91.14 0.1 3.4 46.831 1 84
001160891-04 1160891 FP 0.0 1 0 0 0 109.94266243 162.18484784 "" 9.3176 3 209.2 5.3481 2.336 1.6 6842 4.17 0.5004 0.013378 158.35 0.1049 3.5 20.073 1 84
001160891-05 1160891 FP 0.0 1 0 0 0 98.02288181 172.18142155 "" 11.0258 3 215.6 1.7239 2.645 1.6 6842 4.17 0.46344 0.015146 246.9 0.8411 3.6 23.404 1 84
001160891-06 1160891 FP 0.0 1 0 0 0 515.36457354 540.0623495 "" 8.3258 3 362.9 4.143 3.1 1.6 6842 4.17 1.40122 0.017754 925.78 0.2944 3.6 2.56 1 84
001160891-07 1160891 FP 0.0 1 0 0 0 47.99188437 139.43431228 "" 8.058 4 139.6 2.4225 1.958 1.6 6842 4.17 0.28784 0.011214 133.28 0.4966 3.0 60.668 1 84
001160891-08 1160891 FP 0.0 1 0 0 0 83.84037103 192.96549762 "" 8.8507 3 276.0 2.3204 2.692 1.6 6842 4.17 0.41759 0.015418 275.63 0.1842 4.2 28.825 1 84
001160891-09 1160891 FP 0.0 1 0 0 0 31.37755437 149.45215751 "" 9.4799 7 143.5 4.4558 1.937 1.6 6842 4.17 0.21687 0.011093 53.8 0.1494 4.0 106.873 1 84
001160891-10 1160891 FP 0.0 1 0 0 0 100.10263588 228.45220978 "" 8.7709 4 208.8 1.6692 2.342 1.6 6842 4.17 0.46997 0.013414 459.72 0.1417 3.0 22.758 1 84
001162150-01 1162150 FP 0.0 1 0 0 0 1.34906227 131.7682234 "" 8.1471 979 43.1 4.415 2.903 4.311 7090 3.489 0.03056 0.006172 2.27 0.3872 7.1 45065.527 1 84
001162150-02 1162150 FP 0.0 1 0 0 0 0.83332247 131.6085531 "" 8.0266 859 45.4 5.4199 3.377 4.311 7090 3.489 0.02216 0.007179 1.08 0.9024 7.6 85665.81 1 84
001162150-03 1162150 FP 0.0 1 0 0 0 14.63901538 135.62110526 "" 8.5364 4 730.6 0.8327 11.922 4.311 7090 3.489 0.14977 0.025343 137.29 0.0799 7.0 1875.732 1 84
