# Description of IPAC file format: http://exoplanetarchive.ipac.caltech.edu/docs/ddgen/ipac_tbl.html
# Astropy Python tool to read IPAC format: http://docs.astropy.org/en/stable/api/astropy.io.ascii.Ipac.html
# IDL tool to read IPAC format: https://irsa.ipac.caltech.edu/tools/pro/read_ipac_table.pro
# The accompanying documentation for this file is: KSCI-19114
# Column Definitions
# TCE_ID
# The Threshold Crossing Event (TCE) identifier, consisting of the Kepler Input Catalog (KIC) ID, followed by a dash, and then the planet number
# KIC
# The KIC ID of the TCE.
# Disp
# The Robovetter Disposition Value (PC or FP)
# Score
# The Robovetter Disposition Score
# NTL
# The Robovetter Not Transit-Like Flag
# SS
# The Robovetter Stellar Eclipse Flag
# CO
# The Robovetter Centroid Offset Flag
# EM
# The Robovetter Ephemeris Match Flag
# period
# The period of the TCE in days from DV
# epoch
# The epoch of the TCE in Barycentric Kepler Julian Date (BKJD)
# Expected_MES
# The expected value for the Multiple Event Statistic (MES) based on the injection parameters. (Note this value only exists for INJ1, INJ2, and INJ3, and is "null" for OBS, INV, and SCR1.)
# MES
# The Multiple Event Statistic (MES) of the TCE
# NTran
# The number of transits identified by TPS with SES != 0 (i.e., those used in calculating the MES.)
# depth
# The depth of the TCE in parts per million (ppm)
# duration
# The duration of the TCE in hours (hrs)
# Rp
# The modeled radius of the planet in units of Earth radii (R_earth)
# Rs
# The assumed size of the target star in solar radii (R_sun)
# Ts
# The assumed temperatue of the target star in Kelvin (K)
# logg
# The assumed surface gravity of the star in cm/s**2 (cgs)
# a
# The modeled semi-major axis of the orbit in Astronomical Units (AU)
# Rp/Rs
# The modeled ratio of the planet radius to stellar radius
# a/Rs
# The modeled ratio of the semi-major axis to the stellar radius
# impact
# The modeled impact parameter
# SNR_DV
# The modeled Signal-to-Noise Ratio (SNR) of the signal
# Sp
# The modeled insolation flux of the planet in units of Earth's insolation flux (S_earth)
# Fit_Prov
# A flag indicating if the fit information comes from supplemental fits (1) or original fits (0)
TCE_ID KIC Disp Score NTL SS CO EM period epoch Expected_MES MES NTran depth duration Rp Rs Ts logg a Rp/Rs a/Rs impact SNR_DV Sp Fit_Prov skygroup
000757450-01 757450 FP 0.0 1 0 0 0 231.54682479 271.4567713 "" 68.0852 4 15196.1 1.897 10.215 0.843 5332 4.5 0.69078 0.111041 1035.99 0.0044 65.8 1.079 1 84
000757450-02 757450 FP 0.0 1 0 0 0 263.27946804 257.42133984 "" 61.5272 4 15994.6 2.1961 15.876 0.843 5332 4.5 0.75254 0.172581 641.62 0.9403 56.0 0.909 0 84
000757450-03 757450 FP 0.0 1 0 0 0 249.35275249 262.46327704 "" 58.8314 4 9597.7 1.6886 15.748 0.843 5332 4.5 0.72576 0.171193 688.03 0.9999 18.6 0.977 1 84
000892376-01 892376 FP 0.0 1 0 0 0 598.93394956 192.13265151 "" 10.631 3 1009.9 3.9859 2.104 0.605 3973 4.656 1.17611 0.031872 804.39 0.7574 6.2 0.059 1 84
000893507-01 893507 FP 0.0 1 0 0 0 553.31272281 175.35168899 "" 15.1493 3 722.8 3.7887 5.23 1.684 5382 3.917 1.25191 0.028458 629.34 0.86 10.1 1.36 1 84
000893507-02 893507 FP 0.0 1 0 0 0 229.25350389 203.76752303 "" 15.2844 4 753.3 3.3086 4.664 1.684 5382 3.917 0.69578 0.025382 492.83 0.4296 11.1 4.404 1 84
000893507-03 893507 FP 0.0 1 0 0 0 593.81038796 168.11612867 "" 14.8207 3 703.3 6.4349 4.473 1.684 5382 3.917 1.31227 0.024344 672.95 0.3716 9.8 1.238 1 84
000893507-04 893507 FP 0.0 1 0 0 0 479.10029168 154.55891561 "" 14.9848 3 763.6 5.5251 4.58 1.684 5382 3.917 1.1373 0.024922 678.94 0.0048 8.7 1.648 1 84
000893507-05 893507 FP 0.0 1 0 0 0 403.47265271 515.98288647 "" 11.7926 3 577.5 15.2814 4.197 1.684 5382 3.917 1.01422 0.022839 167.66 0.5961 6.3 2.072 1 84
000893507-06 893507 FP 0.0 1 0 0 0 211.8274203 238.15807234 "" 14.049 3 317.0 3.6607 3.299 1.684 5382 3.917 0.66006 0.017951 290.39 0.7776 4.1 4.893 1 84
000893507-07 893507 FP 0.0 1 0 0 0 243.38394419 180.44318023 "" 11.8415 3 582.4 4.128 4.013 1.684 5382 3.917 0.72406 0.02184 454.34 0.163 8.2 4.066 1 84
000893507-08 893507 FP 0.0 1 0 0 0 403.36827521 166.16753933 "" 11.6875 3 610.2 15.6677 4.093 1.684 5382 3.917 1.01405 0.022273 201.05 0.0081 7.0 2.073 1 84
000893647-01 893647 FP 0.0 1 0 0 0 497.88815735 179.92878103 "" 11.1784 3 2283.8 9.0477 3.213 0.696 4856 4.583 1.07942 0.042301 438.16 0.0071 6.6 0.207 1 84
000893647-02 893647 FP 0.0 1 0 0 0 363.70992345 148.9303314 "" 12.7698 4 1851.7 7.3391 3.273 0.696 4856 4.583 0.87554 0.043091 272.61 0.7547 8.1 0.315 1 84
000893647-03 893647 FP 0.0 1 0 0 0 527.70234688 175.56444291 "" 10.2584 3 1615.8 3.8318 2.989 0.696 4856 4.583 1.12209 0.03935 806.2 0.7022 5.6 0.192 1 84
001026032-01 1026032 FP 0.0 1 0 0 0 577.65937815 433.65124446 "" 554.3061 3 73175.7 4.7909 30.111 0.702 5951 4.638 1.25036 0.393076 931.3 0.9583 367.1 0.354 1 84
001026032-02 1026032 FP 0.0 1 0 0 0 218.75343687 180.70939117 "" 545.1169 6 75244.2 4.5009 31.234 0.702 5951 4.638 0.65447 0.407729 377.6 0.9734 607.5 1.293 1 84
001026032-03 1026032 FP 0.0 1 0 0 0 409.00602465 336.57824789 "" 567.5443 3 79002.4 4.5226 32.969 0.702 5951 4.638 0.99329 0.430384 712.87 0.9906 328.5 0.561 1 84
001026032-04 1026032 FP 0.0 1 0 0 0 227.21344544 163.79328712 "" 548.3295 5 37127.7 3.8119 13.614 0.702 5951 4.638 0.67124 0.177721 536.29 0.0039 148.8 1.229 1 84
