kepid, skygroup
757450, 84
892376, 84
893507, 84
893647, 84
1026032, 84
1026474, 84
1028018, 84
1028246, 84
1292493, 84
1293814, 84
1294229, 84
1294578, 84
1294670, 84
1294756, 84
1294924, 84
1430590, 84
1430741, 84
1432214, 84
1433067, 84
1433962, 84
1433980, 84
1434660, 84
1434976, 84
1435448, 84
1436265, 84
1571511, 84
1572433, 84
1573138, 84
1573174, 84
1576115, 84
1576144, 84
1717672, 84
1717717, 84
1717722, 84
1718360, 84
1718594, 84
1720673, 84
1721614, 84
1722506, 84
1723078, 84
1724041, 84
1724842, 84
1725193, 83
1849235, 71
1849341, 71
1849689, 71
1866366, 84
1869151, 84
1870849, 84
1871056, 84
1871665, 84
1872324, 83
1872340, 83
1872885, 83
1873513, 83
1873543, 83
1873918, 83
1995431, 71
1995732, 71
1996679, 71
1996728, 71
2010152, 84
2010577, 84
2010607, 84
2011424, 84
2011824, 84
2012631, 84
2012826, 84
2013754, 84
2016026, 84
2017224, 84
2019076, 83
2019713, 83
2020444, 83
2021440, 83
2140389, 71
2141783, 71
2142183, 71
2142730, 71
2157247, 84
2158190, 84
2159486, 84
2161623, 84
2162635, 84
2162994, 83
2164169, 83
2164791, 83
2165002, 83
2165352, 83
2165574, 83
2165983, 83
2166200, 83
2166206, 83
2166332, 83
2167890, 83
2168333, 83
2283703, 71
2284957, 71
2285420, 71
2285548, 71
2285639, 71
2299543, 84
2300529, 84
2300961, 84
2302548, 84
2302624, 84
2302892, 84
2303365, 84
2304168, 84
2304235, 84
2304604, 84
2305372, 83
2305543, 83
2306740, 83
2306785, 83
2307199, 83
2307206, 83
2307249, 83
2307415, 83
2307624, 83
2308761, 83
2308957, 83
2309404, 83
2309587, 83
2309695, 83
2309719, 83
2310284, 83
2310795, 83
2421920, 71
2422539, 71
2425057, 71
2436324, 81
2436378, 81
2436450, 81
2436680, 81
2436954, 81
2437060, 81
2437149, 81
2437209, 81
2437222, 81
2437270, 81
2437317, 81
2437452, 81
2437505, 81
2437783, 81
2438052, 81
2438061, 81
2438062, 81
2438070, 81
2438114, 81
2438151, 81
2438264, 81
2438490, 81
2438502, 81
2439144, 81
2439660, 81
2440757, 4
2441151, 84
2441161, 84
2441495, 84
2442084, 84
2442692, 84
2442866, 84
2443815, 84
2443827, 84
2444412, 84
2445129, 84
2445134, 84
2445154, 84
2445665, 83
2446113, 83
2446623, 83
2447707, 83
2448112, 83
2449090, 83
2449407, 83
2449431, 83
2452440, 83
2452450, 83
2556900, 71
2557555, 71
2557669, 71
2557816, 71
2558370, 71
2568971, 81
2569494, 81
2569516, 81
2570281, 81
2570760, 81
2570773, 81
2571238, 81
2571868, 81
2574201, 84
2575044, 84
2575219, 84
2575874, 84
2576107, 84
2576197, 84
2576692, 84
2578404, 83
2578869, 83
2578891, 83
2579590, 83
2580872, 83
2581191, 83
2581316, 83
2581554, 83
2581626, 83
2581964, 83
2582664, 83
2583153, 83
2585635, 83
2585652, 83
2692377, 71
2692704, 71
2692708, 71
2693092, 71
2693736, 71
2694337, 71
2695030, 71
2695110, 71
2696217, 71
2696703, 71
2696938, 71
2696944, 71
2696955, 71
2707479, 81
2708156, 81
2708176, 81
2708221, 81
2708278, 81
2708499, 81
2708614, 81
2713049, 84
2713086, 84
2714532, 83
2714707, 83
2714831, 83
2715070, 83
2715108, 83
2715194, 83
2716289, 83
2716853, 83
2717252, 83
2717423, 83
2718321, 83
2718630, 83
2718663, 83
2718778, 83
2719873, 83
2720354, 83
2721030, 83
2722267, 83
2831091, 71
2831101, 71
2832589, 71
2833709, 71
2836041, 71
2837007, 70
2845909, 81
2846564, 81
2849805, 81
2850480, 81
2852560, 84
2852941, 84
2852942, 84
2853093, 84
2853780, 83
2854181, 83
2854698, 83
2854839, 83
2854914, 83
2854948, 83
2855603, 83
2857323, 83
2860114, 83
2860579, 83
2860594, 83
2860788, 83
2860793, 83
2860866, 83
2861394, 83
2865117, 80
2968811, 71
2968902, 71
2969216, 71
2970588, 71
2970784, 71
2970804, 71
2973509, 71
2975770, 70
2983219, 81
2985366, 81
2987027, 81
2987160, 81
2987372, 81
2987433, 81
2988458, 81
2989404, 81
2989706, 81
2992668, 83
2993038, 83
2994888, 83
2996015, 83
2996903, 83
2997178, 83
2997455, 83
2998124, 83
2998561, 83
3001695, 80
3002336, 80
3003991, 80
3096317, 71
3097331, 71
3097346, 71
3097352, 71
3097926, 71
3098184, 71
3098194, 71
3098197, 71
3098263, 71
3100921, 71
3102000, 70
3102024, 70
3102749, 70
3103125, 70
3103227, 70
3103684, 70
3103752, 70
3109550, 81
3109825, 81
3109930, 81
3112156, 81
3112242, 81
3112828, 81
3112890, 81
3114167, 81
3115480, 81
3115833, 81
3115968, 81
3116329, 81
3116544, 81
3116768, 82
3118797, 83
3118883, 83
3119250, 83
3119603, 83
3120057, 83
3120276, 83
3120320, 83
3120355, 83
3120467, 83
3122450, 83
3122840, 83
3122985, 83
3123231, 83
3123292, 83
3123939, 83
3124412, 83
3124420, 83
3127817, 80
3128488, 80
3128793, 80
3215845, 72
3217264, 71
3217777, 71
3218908, 71
3219476, 71
3219508, 71
3219623, 71
3220957, 70
3222369, 70
3222471, 70
3222610, 70
3228100, 81
3228715, 81
3228725, 81
3228824, 81
3228931, 81
3228945, 81
3228986, 81
3229150, 81
3230028, 81
3230227, 81
3230787, 81
3231120, 81
3231137, 81
3231341, 81
3232813, 81
3234139, 81
3234598, 81
3235174, 82
3239671, 83
3239945, 83
3240049, 83
3240141, 83
3240158, 83
3240159, 83
3240550, 83
3240706, 83
3241199, 83
3241344, 83
3241581, 83
3241604, 83
3241619, 83
3241775, 83
3245420, 80
3245661, 80
3246594, 80
3246890, 80
3246984, 80
3247268, 80
3247294, 80
3247396, 80
3247404, 80
3247503, 80
3247777, 80
3248019, 80
3248033, 80
3248332, 80
3322943, 72
3323289, 72
3323887, 72
3324644, 71
3326377, 71
3326917, 71
3327068, 71
3327980, 70
3327992, 70
3328026, 70
3328203, 70
3328418, 70
3328643, 70
3329065, 70
3329196, 70
3329878, 70
3330368, 70
3330688, 70
3335813, 81
3335816, 81
3336035, 81
3337002, 81
3337061, 81
3337351, 81
3338660, 81
3338674, 81
3338885, 81
3339538, 81
3339780, 81
3340312, 81
3340313, 81
3341327, 81
3341934, 82
3341995, 82
3342210, 82
3342467, 82
3342592, 82
3342970, 82
3344419, 82
3344427, 82
3345675, 83
3346189, 83
3346195, 83
3346436, 83
3346631, 83
3347395, 83
3347485, 83
3347516, 83
3348082, 83
3348093, 83
3351888, 80
3352122, 80
3352523, 80
3352751, 80
3352999, 80
3353584, 80
3353629, 80
3353679, 80
3356010, 80
3425756, 72
3425851, 72
3426335, 71
3427847, 71
3428468, 71
3429626, 70
3429637, 70
3430048, 70
3430287, 70
3430610, 70
3431126, 70
3433668, 70
3437776, 81
3438975, 81
3439031, 81
3439126, 81
3440230, 81
3440346, 81
3440549, 81
3440840, 81
3441128, 81
3441159, 81
3441235, 81
3441784, 81
3441906, 81
3442006, 81
3442054, 81
3442055, 81
3443127, 82
3443221, 82
3443582, 82
3444098, 82
3445843, 82
3446746, 82
3447722, 83
3448130, 83
3448777, 83
3448787, 83
3449540, 83
3452996, 80
3453494, 80
3454690, 80
3454731, 80
3454793, 80
3455094, 80
3455706, 80
3455863, 80
3456318, 80
3456780, 80
3456972, 80
3458028, 80
3459143, 80
3459199, 80
3526481, 72
3528198, 71
3528424, 71
3530668, 70
3531558, 70
3532985, 70
3534076, 70
3534576, 70
3538966, 81
3539331, 81
3539632, 81
3540728, 81
3541800, 81
3541946, 81
3542116, 81
3542573, 81
3542574, 81
3543270, 81
