kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
6422070,K00852.01,1,CANDIDATE,0.8759999999999999,3.76181843,29.971922,2.66,0.73,-0.26,0.025656,0.000201,-0.004673,0.9490000000000001,0.26,-0.09300000000000001,5653,2.66,0.73,-0.26,1097,6422070,3.762,2.8e-05,0.9981235379159762,0.0008740248486870951,0.9999983554047706,2.8e-05,0.9999703554508192
6428700,K00853.01,1,CANDIDATE,1.0,8.20396958,44.777393,3.01,0.24,-0.3,0.033372000000000006,0.002616,-0.004385,0.826,0.066,-0.083,5015,3.01,0.24,-0.3,1098,6428700,8.204,3e-05,0.9985576054907029,4.053651919997129e-05,0.9999999414435154,3e-05,0.9999699414452722
6428700,K00853.02,2,CANDIDATE,1.0,14.49645186,20.855698,3.01,0.24,-0.3,0.033377,0.000459,-0.009362,0.826,0.066,-0.083,5015,3.01,0.24,-0.3,1099,6428700,14.496,0.77,0.9929871926928224,0.007807685825475794,0.999944425606787,0.77,0.22998721788956097
8544996,K00913.01,1,CANDIDATE,0.997,4.082274889,1627.8156,10.55,2.4,-0.87,0.121652,0.0004280000000000001,-9.6e-05,0.794,0.18100000000000002,-0.065,5655,10.55,2.4,-0.87,770,8544996,4.082,0.0021,0.998563371015367,1.7763689128249316e-152,1.0,0.0021,0.9979
8552202,K00914.01,1,CANDIDATE,1.0,3.886655224,41.233078000000006,1.87,0.36,-0.15,0.023262,0.002814,-0.001107,0.738,0.14,-0.06,5662,1.87,0.36,-0.15,771,8552202,3.887,1.5e-05,0.9985466004811572,7.854915120199027e-05,0.9999998856615538,1.5e-05,0.9999848856632689
8628973,K00916.01,1,CANDIDATE,1.0,3.314947362,105.955894,3.94,1.11,-0.37,0.038195,0.00019,-0.003621,0.9440000000000001,0.266,-0.08900000000000001,5609,3.94,1.11,-0.37,773,8628973,3.315,0.00019,0.9985633710152484,7.352448027158809e-11,0.9999999999998942,0.00019,0.9998099999998942
8672910,K00918.01,1,CANDIDATE,0.996,39.6431552,487.53952,10.98,0.72,-0.99,0.111685,7.4e-05,-0.00014199999999999998,0.898,0.066,-0.07200000000000001,5236,10.98,0.72,-0.99,808,8672910,39.643,0.008,0.998563371015367,5.176292707291838e-46,1.0,0.008,0.992
2302548,K00988.01,1,CANDIDATE,1.0,10.38122447,68.87666999999999,2.18,0.15,-0.1,0.025572,0.000552,-0.000833,0.78,0.055,-0.035,5095,2.18,0.15,-0.1,1830,2302548,10.381,1e-05,0.9985633658076708,2.435717865609959e-07,0.9999999996495729,1e-05,0.9999899996495765
2302548,K00988.02,2,CANDIDATE,1.0,24.5709023,34.57784,2.82,0.2,-0.12,0.033128,1.5e-05,-0.0074480000000000015,0.78,0.055,-0.035,5095,2.82,0.2,-0.12,1831,2302548,24.571,0.16,0.9984678720151059,0.0005224049337909482,0.9999991979616092,0.16,0.8399993262877516
8644288,K00137.01,2,CANDIDATE,1.0,7.641567589,366.27887,4.91,0.3,-0.33,0.042627,0.000225,-8.6e-05,1.055,0.065,-0.07200000000000001,5356,4.91,0.3,-0.33,238,8644288,7.642,6.5e-06,0.998563371015367,4.823442502982867e-35,1.0,6.5e-06,0.9999935
8644288,K00137.02,1,CANDIDATE,1.0,14.85890852,399.39264,5.94,0.37,-0.4,0.05159,7.5e-05,-0.00057,1.055,0.065,-0.07200000000000001,5356,5.94,0.37,-0.4,239,8644288,14.859,0.014,0.998563371015367,4.708376878556895e-38,1.0,0.014,0.986
8644288,K00137.03,3,CANDIDATE,1.0,3.504691252,50.787594,2.03,0.13,-0.14,0.017643,0.001689,-0.001489,1.055,0.065,-0.07200000000000001,5356,2.03,0.13,-0.14,240,8644288,3.505,7.5e-05,0.998562317548123,1.0052297118006642e-05,0.9999999855270361,7.5e-05,0.9999249855281215
10154388,K00991.01,1,CANDIDATE,0.9990000000000001,12.06222962,27.932955,1.62,0.21,-0.13,0.015944999999999997,0.000269,-0.000666,0.9329999999999999,0.12,-0.08,5547,1.62,0.21,-0.13,1833,10154388,12.062,0.002,0.9978275721996442,0.0016318760691447786,0.9999964413414582,0.002,0.9979964484587752
1432789,K00992.01,1,CANDIDATE,0.848,9.93146307,22.90132,2.41,0.39,-0.35,0.018094,0.000728,-0.000421,1.22,0.196,-0.17600000000000002,5782,2.41,0.39,-0.35,1834,1432789,9.931,0.00018,0.9953424797213711,0.004556639999350301,0.9999785804481968,0.00018,0.9997985843037162
